_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
212,2018-11-29 04:25:00,591,0,0,Narodowe Forum Muzyki
213,2018-11-29 04:25:00.027000,275,0,0,Nowy Targ
214,2018-11-29 04:25:01.160000,124,0,0,ul. św. Antoniego
215,2018-11-29 04:25:01.947000,792,0,0,Parking Hala Stulecia
216,2018-11-29 04:30:00,591,0,0,Narodowe Forum Muzyki
217,2018-11-29 04:30:00.010000,276,1,1,Nowy Targ
218,2018-11-29 04:30:01.157000,124,0,0,ul. św. Antoniego
219,2018-11-29 04:30:01.317000,792,0,0,Parking Hala Stulecia
220,2018-11-29 04:35:00,591,0,0,Narodowe Forum Muzyki
221,2018-11-29 04:35:00.010000,276,0,0,Nowy Targ
222,2018-11-29 04:35:01.177000,124,0,0,ul. św. Antoniego
223,2018-11-29 04:35:01.953000,792,0,0,Parking Hala Stulecia
224,2018-11-29 04:40:00,591,0,0,Narodowe Forum Muzyki
225,2018-11-29 04:40:00.010000,277,1,1,Nowy Targ
226,2018-11-29 04:40:01.413000,124,0,0,ul. św. Antoniego
227,2018-11-29 04:40:01.447000,792,0,0,Parking Hala Stulecia
228,2018-11-29 04:45:00,591,0,0,Narodowe Forum Muzyki
229,2018-11-29 04:45:00.013000,277,0,0,Nowy Targ
230,2018-11-29 04:45:01.613000,124,0,0,ul. św. Antoniego
231,2018-11-29 04:45:01.797000,792,0,0,Parking Hala Stulecia
232,2018-11-29 04:50:00,591,0,0,Narodowe Forum Muzyki
233,2018-11-29 04:50:00.027000,277,0,0,Nowy Targ
234,2018-11-29 04:50:01.657000,792,0,0,Parking Hala Stulecia
235,2018-11-29 04:50:02.093000,124,0,0,ul. św. Antoniego
236,2018-11-29 04:55:00,591,0,0,Narodowe Forum Muzyki
237,2018-11-29 04:55:00.010000,277,0,0,Nowy Targ
238,2018-11-29 04:55:01.133000,124,0,0,ul. św. Antoniego
239,2018-11-29 04:55:01.747000,792,0,0,Parking Hala Stulecia
240,2018-11-29 05:00:00,591,0,0,Narodowe Forum Muzyki
241,2018-11-29 05:00:00.010000,277,0,0,Nowy Targ
242,2018-11-29 05:00:01.577000,792,0,0,Parking Hala Stulecia
243,2018-11-29 05:00:01.693000,124,0,0,ul. św. Antoniego
244,2018-11-29 05:05:00,591,0,0,Narodowe Forum Muzyki
245,2018-11-29 05:05:00.013000,277,0,0,Nowy Targ
246,2018-11-29 05:05:01.680000,124,0,0,ul. św. Antoniego
247,2018-11-29 05:05:02.117000,792,0,0,Parking Hala Stulecia
248,2018-11-29 05:10:00,591,0,0,Narodowe Forum Muzyki
249,2018-11-29 05:10:00.010000,277,0,0,Nowy Targ
250,2018-11-29 05:10:01.440000,792,0,0,Parking Hala Stulecia
251,2018-11-29 05:10:02.007000,124,0,0,ul. św. Antoniego
252,2018-11-29 05:15:00,591,0,0,Narodowe Forum Muzyki
253,2018-11-29 05:15:00.013000,277,0,0,Nowy Targ
254,2018-11-29 05:15:01.450000,124,0,0,ul. św. Antoniego
255,2018-11-29 05:15:02.030000,792,0,0,Parking Hala Stulecia
256,2018-11-29 05:20:00,591,0,0,Narodowe Forum Muzyki
257,2018-11-29 05:20:00.013000,277,0,0,Nowy Targ
258,2018-11-29 05:20:01.497000,124,0,0,ul. św. Antoniego
259,2018-11-29 05:20:01.583000,792,0,0,Parking Hala Stulecia
260,2018-11-29 05:25:00,591,0,0,Narodowe Forum Muzyki
261,2018-11-29 05:25:00.013000,277,0,0,Nowy Targ
262,2018-11-29 05:25:01.200000,124,0,0,ul. św. Antoniego
263,2018-11-29 05:25:01.997000,792,0,0,Parking Hala Stulecia
264,2018-11-29 05:30:00,591,0,0,Narodowe Forum Muzyki
265,2018-11-29 05:30:00.013000,277,0,0,Nowy Targ
266,2018-11-29 05:30:01.557000,792,0,0,Parking Hala Stulecia
267,2018-11-29 05:30:01.743000,124,0,0,ul. św. Antoniego
268,2018-11-29 05:35:00,591,0,0,Narodowe Forum Muzyki
269,2018-11-29 05:35:00.010000,277,0,0,Nowy Targ
270,2018-11-29 05:35:01.307000,124,0,0,ul. św. Antoniego
271,2018-11-29 05:35:01.363000,792,0,0,Parking Hala Stulecia
272,2018-11-29 05:40:00,591,0,0,Narodowe Forum Muzyki
273,2018-11-29 05:40:00.010000,277,0,0,Nowy Targ
274,2018-11-29 05:40:01.640000,792,0,0,Parking Hala Stulecia
